Name;Length;Area
Yenikent;10157.59161870000;2609738.14116000000
Balıklıova;48580.40518420000;52569778.84760000000
Barbaros;39879.56742830000;36767588.85950000000
Bademler;25502.64828930000;17467329.45010000000
Altıntaş;8288.01118553000;1787264.07046000000
Camiatik;11165.93699260000;2655475.75617000000
Sıra;10027.02610200000;2974723.59001000000
Atatürk;12616.17549440000;3739245.43020000000
İskele;16454.75078360000;6124738.14372000000
Güvendik;25415.19028500000;18086144.99050000000
Yeni;1558.72534006000;95257.94997330000
Yaka;5118.68393607000;761086.40217200000
Hacı İsa;3424.42323580000;315070.40489400000
Rüstem;16028.54934400000;6716961.93327000000
M.Fevzi Çakmak;4245.07732641000;887802.59228600000
Torasan;13218.46795570000;3903567.54768000000
Gülbahçe;33255.76595620000;25751747.26790000000
Ovacık;12020.37621470000;6114864.98102000000
Şirinkent;9223.13924582000;2585263.33073000000
Çamlıçay;4385.94680244000;925759.81847200000
Zeytinalanı;3179.76520401000;479951.89155200000
Naipli;7306.89968508000;1700188.87451000000
Yağcılar;53178.92091050000;57329696.84780000000
Demircili;13844.00470680000;3245828.00659000000
İçmeler;18776.62139810000;15074132.06450000000
Kuşçular;36513.58364920000;35527109.19160000000
Özbek;32535.33863570000;32871332.98090000000
Yenice;16433.19689300000;8429068.59268000000
Kalabak;13890.50159150000;6606512.82479000000
Yelaltı;14753.95691450000;3413212.05739000000
Denizli;12949.74638150000;6308948.69226000000
Zeytinler;76488.69968530000;119790278.92400000000
Kadıovacık;29658.64497610000;47182645.08230000000
Nohutalan;16614.54790440000;10734678.27660000000
Birgi;26190.68915420000;20540681.16180000000
Uzunkuyu;12703.72732990000;3168559.77424000000
Zeytineli;80458.25156790000;111242001.95200000000
